gene_ids,feature_is_filtered,feature_name,feature_reference,feature_biotype,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts
ENSG00000000003,False,TSPAN6,NCBITaxon:9606,gene,6900,0.11869902,90.14412432687226,8310.0
ENSG00000000005,False,TNMD,NCBITaxon:9606,gene,161,0.0024853947,99.77002956762702,174.0
ENSG00000000419,False,DPM1,NCBITaxon:9606,gene,22723,0.46582583,67.54274450427802,32612.0
ENSG00000000457,False,SCYL3,NCBITaxon:9606,gene,14556,0.27685013,79.2083874930366,19382.0
ENSG00000000460,False,C1orf112,NCBITaxon:9606,gene,7990,0.16050793,88.58718164807382,11237.0
ENSG00000000938,False,FGR,NCBITaxon:9606,gene,134,0.0019568913,99.8085960376523,137.0
ENSG00000000971,False,CFH,NCBITaxon:9606,gene,266,0.0039137825,99.62004885086203,274.0
ENSG00000001036,False,FUCA2,NCBITaxon:9606,gene,5651,0.091788195,91.92818066248624,6426.0
ENSG00000001084,False,GCLC,NCBITaxon:9606,gene,33020,0.9351941,52.83463554685825,65472.0
ENSG00000001167,False,NFYA,NCBITaxon:9606,gene,9264,0.16433601,86.76741561799197,11505.0
ENSG00000001460,False,STPG1,NCBITaxon:9606,gene,8257,0.15476581,88.20580211115714,10835.0
ENSG00000001461,False,NIPAL3,NCBITaxon:9606,gene,13671,0.28712022,80.47251067719866,20101.0
ENSG00000001497,False,LAS1L,NCBITaxon:9606,gene,9939,0.16192204,85.80325386735991,11336.0
ENSG00000001561,False,ENPP4,NCBITaxon:9606,gene,13633,0.25113913,80.5267894127898,17582.0
ENSG00000001617,False,SEMA3F,NCBITaxon:9606,gene,537,0.0079418365,99.23295576283049,556.0
ENSG00000001626,False,CFTR,NCBITaxon:9606,gene,925,0.014269594,98.6787413046894,999.0
ENSG00000001629,False,ANKIB1,NCBITaxon:9606,gene,47794,1.8473196,31.731634504135187,129329.0
ENSG00000001630,False,CYP51A1,NCBITaxon:9606,gene,13938,0.2672228,80.09113114028197,18708.0
ENSG00000001631,False,KRIT1,NCBITaxon:9606,gene,29245,0.67428476,58.22679941150424,47206.0
ENSG00000002016,False,RAD52,NCBITaxon:9606,gene,26385,0.56716996,62.31198845862676,39707.0
ENSG00000002330,False,BAD,NCBITaxon:9606,gene,4882,0.07597595,93.02661086431745,5319.0
ENSG00000002549,False,LAP3,NCBITaxon:9606,gene,13938,0.26069504,80.09113114028197,18251.0
ENSG00000002586,False,CD99,NCBITaxon:9606,gene,25672,0.6346041,63.33042894484995,44428.0
ENSG00000002587,False,HS3ST1,NCBITaxon:9606,gene,586,0.00884172,99.16296476167349,619.0
